text_index,hashtag,company
1225,JPRLiveSession,Apple
1239,phishing,Apple
1245,ios,Apple
1249,GalaxyS10,Apple
1249,iPhonepic,Apple
1255,nikerunclub,Apple
1256,notmyfirstrodeo,Apple
1262,foxnews,Apple
1263,GenX,Apple
1263,babyboomers,Apple
1266,ComeOnMan,Apple
1266,Hes71Too,Apple
1269,SneakySasquatch,Apple
1269,AppleArcade,Apple
1269,gamers,Apple
1270,bringbacktheheadphonejack,Apple
1275,DorisChristmas,Apple
1275,Airpods,Apple
1281,NBA,Apple
1281,Straya,Apple
1283,poorservice,Apple
1283,premium,Apple
1286,abuse,Apple
1286,parenting,Apple
1286,CPTSD,Apple
1286,MentalHealthAwareness,Apple
1289,misogyny,Apple
1292,RightToRepair,Apple
1294,Competition,Apple
1294,12DaysOfDoris,Apple
1309,HotlineBling,Apple
1312,SmartGlasses,Apple
1312,ARhttps,Apple
1313,boycott,Apple
1314,IwantJUSTICEformyApplePremiumRangeProduct,Apple
1315,Vancouver,Apple
1327,IwantJUSTICEformyApplePremiumRangeProduct,Apple
1328,boycottapple,Apple
1334,IwantJUSTICEformyApplePremiumRangeProduct,Apple
1336,NEW,Apple
1336,bestseller,Apple
1337,NEW,Apple
1337,bestseller,Apple
1340,IwantJUSTICEformyApplePremiumRangeProduct,Apple
1346,ipadpro,Apple
1346,iOS13,Apple
1346,CX,Apple
1346,UX,Apple
1346,Feedback,Apple
1349,HGOHD,Apple
1349,HARJGTHEONEDBA,Apple
1349,HARJGTHEONE,Apple
1349,HARJGTWO,Apple
1349,HGOHDMUSICGROUPpic,Apple
1350,Microsoft,Apple
1351,wB8m8OQFYUw60fbj,Apple
1352,HGOHD,Apple
1352,HARJGTHEONEDBA,Apple
1352,HARJGTHEONE,Apple
1352,HARJGTWO,Apple
1352,HGOHDMUSICGROUPpic,Apple
1353,HGOHD,Apple
1353,HARJGTHEONEDBA,Apple
1353,HARJGTHEONE,Apple
1353,HARJGTWO,Apple
1353,HGOHDMUSICGROUPpic,Apple
1369,TheMorningShow,Apple
1370,iPhone,Apple
1374,Day6,Apple
1374,Competition,Apple
1374,12DaysOfDoris,Apple
1376,chillin,Apple
1377,iphone12,Apple
1379,Netflix,Apple
1379,disneyplus,Apple
1393,askingforafriend,Apple
1393,freakyfriday,Apple
1405,port,Apple
1405,Lightning,Apple
1405,Apple,Apple
1405,iPhone,Apple
1405,iOS,Apple
1405,opinion,Apple
1405,Editorial,Apple
1417,1,Apple
1417,Amazon,Apple
1418,1,Apple
1418,Amazon,Apple
1433,iPhone11,Apple
1438,iPhone,Apple
1438,opensource,Apple
1438,mydataisMYdatahttps,Apple
1452,MacBookPro,Apple
1452,illustratortoolspic,Apple
1462,JustSayin,Apple
1470,Airpods,Apple
1470,DorisChristmas,Apple
1470,Day6,Apple
1470,Competition,Apple
1470,12DaysOfDoris,Apple
1473,Iphone,Apple
1473,frayeurpic,Apple
1475,iphone,Apple
1475,ipad,Apple
1480,hellhasfrozenover,Apple
1480,Hallelujah,Apple
1481,ohohohoh,Apple
1488,Apple,Apple
1491,macOSpic,Apple
1492,Siri,Apple
1492,Homekit,Apple
1492,Home,Apple
1514,checkra1n,Apple
1534,applesupport,Apple
1534,airpodpro,Apple
1597,Neuland,Apple
1597,ApplePay,Apple
1601,3,Apple
1602,Apple,Apple
1615,RussianAsset,Apple
1619,Pixel4XL,Apple
1619,iPhone11Pro,Apple
1623,HongKongProtests,Apple
1623,HKHumanRightsandDemocracyAct,Apple
1630,china,Apple
1630,ccp,Apple
1635,tech,Apple
1635,marketing,Apple
1636,china,Apple
1636,ccp,Apple
1637,UnitedforHousing,Apple
1637,affordablehousing,Apple
1638,China,Apple
1659,invisiblewomen,Apple
1659,afabproblems,Apple
1659,smallhands,Apple
1696,VR,Apple
1696,AR,Apple
1696,VR,Apple
1696,Quanta,Apple
1696,HTC,Apple
1696,Oculus,Apple
1696,Galaxy,Apple
1701,SanJose,Apple
1701,SanJose,Apple
1702,china,Apple
1703,3Dtouch,Apple
1703,haptictouch,Apple
1703,iPhone11ProMax,Apple
1710,apple,Apple
1713,AppleCard,Apple
1724,Cloud,Apple
1724,insurance,Apple
1724,Insurtech,Apple
1724,AI,Apple
1724,DigitalTransformationhttps,Apple
1725,EpsteinSuicideCoverUp,Apple
1733,UnsealEpstein,Apple
1737,SEEatv,Apple
1737,AppleTVPlus,Apple
1737,Apple,Apple
1745,DoctorWho,Apple
1753,padlet,Apple
1753,Keynote,Apple
1753,VikingPride,Apple
1753,Nan3EDU,Apple
1761,freebuds3,Apple
1761,AirPodsPro,Apple
1766,AirPodsPro,Apple
1766,AirPods,Apple
1766,apple,Apple
1769,VikingPride,Apple
1769,PaSmart,Apple
1791,stockmarkets,Apple
1791,SP500,Apple
1791,WallStreet,Apple
1795,JustSaying,Apple
1817,CCP,Apple
1817,BoycottChinapic,Apple
1819,iphone,Apple
1829,damn,Apple
1829,cool,Apple
1835,WebCore,Apple
1836,Apple,Apple
1836,iphone,Apple
1836,India,Apple
1841,WhatHiFiAwardspic,Apple
1856,AirPodsPro,Apple
1859,ISTE,Apple
1859,EmpoweringLeader,Apple
1859,ConnectedLearner,Apple
1859,d53learns,Apple
1868,VirtualReality,Apple
1874,HJWfmPuJsr,Apple
1877,Adlerville,Apple
1882,nojackpic,Apple
1884,FaceTime,Apple
1884,warmsmyheartpic,Apple
1886,twitterstorians,Apple
1890,WhatHiFiAwards,Apple
1898,apple,Apple
1912,BlurberryEmoji,Apple
1930,StandWithHongKong,Apple
1930,antichinazihttps,Apple
1935,ios13,Apple
1937,apple,Apple
1937,wantsmoneyfornothing,Apple
1939,TeamTrees,Apple
1942,WhatHiFiAwardspic,Apple
1947,OSCatalina,Apple
1949,pissedoff,Apple
1949,angry,Apple
1949,thisisbs,Apple
1956,bicycles,Apple
1961,1,Apple
1961,Amazon,Apple
1964,podcast,Apple
1966,Safari13,Apple
1982,iphone,Apple
1982,Pixel4XL,Apple
1982,dobettersamsung,Apple
1991,homebuyers,Apple
1991,Texas,Apple
1991,FortWorth,Apple
1991,TarrantCounty,Apple
1991,DallasCounty,Apple
2006,iPhone11ProMax,Apple
2016,iPhone,Apple
2029,click,Apple
2036,housingcrisis,Apple
2043,scam,Apple
2046,PWA,Apple
2046,ServiceWorker,Apple
2046,Safari,Apple
2050,yallSuck,Apple
2054,applesoriginalsee,Apple
2060,SoutezAppleProhttps,Apple
2066,Health,Apple
2066,workout,Apple
2072,lucky,Apple
2076,iPhone11Pro,Apple
2081,SECRET,Apple
2088,iOS,Apple
2088,apple,Apple
2089,see,Apple
2093,AirPodsPro,Apple
2096,macOS,Apple
2098,BigBanks,Apple
2098,IndependentMortgageBankers,Apple
2098,QuickenLoans,Apple
2098,WellsFargo,Apple
2115,GlobalCompetence,Apple
2126,OnePlus7TPro,Apple
2127,realestate,Apple
2127,affordable,Apple
2127,housing,Apple
2127,california,Apple
2130,AXSChat,Apple
2149,AppleFail,Apple
2149,ShadyApple,Apple
2153,foxnews,Apple
2165,TodayatApple,Apple
2174,Technology,Apple
2174,Business,Apple
2174,Tech,Apple
2180,Apple,Apple
2180,KAG,Apple
2180,KAG2020,Apple
2182,iPhone,Apple
2182,SpectralEdge,Apple
2191,gaza,Apple
2191,tonight,Apple
2191,palestine,Apple
2191,apple,Apple
2191,iPhone11ProMax,Apple
2191,shotoniphone,Apple
2191,shotoniphone11promax,Apple
2191,photographer,Apple
2191,sky,Apple
2191,clouds,Apple
2198,12DaysOfDoris,Apple
2201,LiFi,Apple
2202,MayoGRIT,Apple
2221,Dec12th,Apple
2221,BabyYoda,Apple
2228,DorisChristmas,Apple
2228,12DaysOfDoris,Apple
2243,AppleCard,Apple
2245,autocorrectfails,Apple
2252,poopdie,Apple
2253,poopdiegame,Apple
2260,fckng,Apple
2260,sic,Apple
2260,macpro2019,Apple
2260,action,Apple
2260,music,Apple
2260,sound,Apple
2260,cpu,Apple
2266,AppleCatalina,Apple
2266,sucks,Apple
2268,MagicMouse,Apple
2269,12DaysOfDoris,Apple
2286,poopdie,Apple
2293,buechereienwien,Apple
2293,büchereien,Apple
2293,Wien,Apple
2293,lassteuchnichtabzocken,Apple
2299,iPhone11ProMax,Apple
2302,gratitude,Apple
2315,OSupdate,Apple
2315,iphone,Apple
2315,apple,Apple
2315,wtf,Apple
2317,notsponsored,Apple
2330,applestore,Apple
2336,TeslaAppStore,Apple
2349,fcpxpic,Apple
2352,iwantpoopdie,Apple
2355,HolaTelcel,Apple
2355,Telcel,Apple
2380,shotoniPhone11Pro,Apple
2380,shotoniPhone,Apple
2390,SMHpic,Apple
2397,SizzlingSprintWeekend,Apple
2397,WCCforBiz,Apple
2397,BeastModepic,Apple
2398,DonorsChoose,Apple
2402,applecarnegielibrary,Apple
2407,Windows,Apple
2407,FomerPCsupporter,Apple
2413,clipspic,Apple
2414,ScreenTime,Apple
2414,CommunicartionLimits,Apple
2416,AppleWatch,Apple
2417,aluminum,Apple
2417,climateaction,Apple
2417,carbonemissions,Apple
2417,CO2,Apple
2417,environmental,Apple
2417,sustainability,Apple
2417,futureishere,Apple
2417,suppliers,Apple
2422,Christmas,Apple
2422,GE2019,Apple
2438,MacPro,Apple
2458,DorisChristmas,Apple
2459,ios1323,Apple
2465,iPhone,Apple
2466,PanAfrican,Apple
2466,GPANpic,Apple
2471,12DaysOfDoris,Apple
2473,laptop,Apple
2473,notebook,Apple
2487,iPhone,Apple
2487,iPhoneXR,Apple
2487,Applepic,Apple
2491,iOS133,Apple
2497,OSCatalina,Apple
2505,Apple,Apple
2537,poopdie,Apple
2540,RandomThoughts,Apple
2548,AirPods,Apple
2551,AmericA,Apple
2551,Of,Apple
2552,dontdoit,Apple
